trade_date,factor,spearman_ic,rolling_rank_ic,window
2022-11-24,factor_size,-0.3350911279232385,-0.06406442060695797,60
2022-11-25,factor_size,-0.3125077099813107,-0.06673803600614678,60
2022-11-28,factor_size,-0.31750339273412026,-0.06887507807262644,60
2022-11-29,factor_size,-0.2679166157803066,-0.06909813633545767,60
2022-11-30,factor_size,-0.30189959351855455,-0.06883293342388876,60
2022-12-01,factor_size,-0.2552115460632847,-0.07055469651256284,60
2022-12-02,factor_size,-0.22930800586353128,-0.0713842265499121,60
2022-12-05,factor_size,-0.32887542070184045,-0.07385573889078094,60
2022-12-06,factor_size,-0.31280058042715114,-0.07551042887521972,60
2022-12-07,factor_size,-0.30120561367163756,-0.07581648928736333,60
2022-12-08,factor_size,-0.24948942672232977,-0.076237135599152,60
2022-12-09,factor_size,-0.20851176012045777,-0.07536937694465336,60
2022-12-12,factor_size,-0.1616745370143899,-0.07549826857986999,60
2022-12-13,factor_size,-0.22764113101851763,-0.07749137463533863,60
2022-12-14,factor_size,-0.1695679756131744,-0.07919502082023554,60
2022-12-15,factor_size,-0.22813447093094164,-0.08296128486325159,60
2022-12-16,factor_size,-0.2945944048474934,-0.08879015053684393,60
2022-12-19,factor_size,-0.23189933511027214,-0.09546649590163121,60
2022-12-20,factor_size,-0.293299954520151,-0.10265325371056425,60
2022-12-21,factor_size,-0.31089004613220855,-0.10923786290692102,60
2022-12-22,factor_size,-0.2066012258255152,-0.11271616589158404,60
2022-12-23,factor_size,-0.12339416325611924,-0.11441193596926089,60
2022-12-26,factor_size,-0.17534229711404503,-0.1186253729247684,60
2022-12-27,factor_size,-0.029172320272579426,-0.12035844311432332,60
2022-12-28,factor_size,-0.044776119488145166,-0.12278638604891925,60
2022-12-29,factor_size,-0.0035154804556808187,-0.12547233646725084,60
2022-12-30,factor_size,0.10034538072618758,-0.12734623145868537,60
2023-01-03,factor_size,0.043172566999589,-0.1299992884926363,60
2023-01-04,factor_size,0.1298260764773355,-0.131088881850245,60
2023-01-05,factor_size,0.14018749255723686,-0.13329273860374782,60
2023-01-06,factor_size,0.0866535094777465,-0.1357916078984145,60
2023-01-09,factor_size,0.056617737865175294,-0.13907375090864518,60
2023-01-10,factor_size,0.20025903578237925,-0.1379749062866794,60
2023-01-11,factor_size,0.1506722588285656,-0.13707033821621187,60
2023-01-12,factor_size,0.08270630335206978,-0.1360598945647691,60
2023-01-13,factor_size,0.1551128657199519,-0.13549659535725064,60
2023-01-16,factor_size,0.23313186179778062,-0.13282297995806183,60
2023-01-17,factor_size,0.22887628019353543,-0.13029944062510965,60
2023-01-18,factor_size,0.2247440487807176,-0.12611478538093518,60
2023-01-19,factor_size,0.25608289400649475,-0.12181178792658919,60
2023-01-20,factor_size,0.24158134991055732,-0.11737529270825046,60
2023-01-30,factor_size,0.2220920196650286,-0.11436246428263629,60
2023-01-31,factor_size,0.08153447653350951,-0.11281441938022246,60
2023-02-01,factor_size,-0.057111138630884885,-0.11365422860019066,60
2023-02-02,factor_size,-0.0022203034456931485,-0.11347742665914473,60
2023-02-03,factor_size,-0.010608116462756155,-0.11043787235872128,60
2023-02-06,factor_size,-0.042000740181028735,-0.10854547483857262,60
2023-02-07,factor_size,-0.011533242898461634,-0.10644646574778308,60
2023-02-08,factor_size,-0.0014185272014150673,-0.10268839658229505,60
2023-02-09,factor_size,-0.005735783901373967,-0.09726818358732284,60
2023-02-10,factor_size,0.03182434938826846,-0.09174415084789925,60
2023-02-13,factor_size,0.026088565486894495,-0.08672482597506607,60
2023-02-14,factor_size,-0.07160699420557333,-0.08300673097016284,60
2023-02-15,factor_size,-0.007956087347067115,-0.07987671986269264,60
2023-02-16,factor_size,-0.03003577161257121,-0.07595110002051572,60
2023-02-17,factor_size,-0.06673245356222185,-0.07374621534875099,60
2023-02-20,factor_size,0.012705461504175801,-0.07041678156868728,60
2023-02-21,factor_size,-0.15283088717854507,-0.06909887117249627,60
2023-02-22,factor_size,-0.24256815144197652,-0.06986158652282234,60
2023-02-23,factor_size,-0.2515110403204628,-0.06950798264073048,60
2023-02-24,factor_size,-0.21734973951803652,-0.06754562616731044,60
2023-02-27,factor_size,-0.15906007184562862,-0.06498816553171574,60
2023-02-28,factor_size,-0.12606389563879988,-0.06179750724679374,60
2023-03-01,factor_size,-0.11601085503746703,-0.05926574456774641,60
2023-03-02,factor_size,-0.12711237226593278,-0.05635262421353605,60
2023-03-03,factor_size,-0.16424077988557928,-0.05483644477724096,60
2023-03-06,factor_size,-0.19039689156985776,-0.05418792620567973,60
2023-03-07,factor_size,-0.24953743725762442,-0.05286562648160946,60
2023-03-08,factor_size,-0.20778339745945051,-0.05111534009881445,60
2023-03-09,factor_size,-0.29289502954435453,-0.05097683036335974,60
2023-03-10,factor_size,-0.30122116746570377,-0.05183902604241597,60
2023-03-13,factor_size,-0.2729739736288299,-0.05291339626755551,60
2023-03-14,factor_size,-0.22684100203498336,-0.05399950401789873,60
2023-03-15,factor_size,-0.19390650092386832,-0.0534372601829879,60
2023-03-16,factor_size,-0.11323547573035059,-0.05249838518494084,60
2023-03-17,factor_size,-0.05119032944236982,-0.049549316160131314,60
2023-03-20,factor_size,-0.14055754313151905,-0.04698203513153174,60
