trade_date,rolling_beta,window
2021-04-23,0.04865682113501394,60
2021-04-26,0.0493726385394294,60
2021-04-27,0.06081551026284558,60
2021-04-28,0.07105398082834626,60
2021-04-29,0.064948059308855,60
2021-04-30,0.049031107097651815,60
2021-05-06,0.057307012767773606,60
2021-05-07,0.04604894928989574,60
2021-05-10,0.05150088869356797,60
2021-05-11,0.050083593889201035,60
2021-05-12,0.04431093182237321,60
2021-05-13,0.029392252944581122,60
2021-05-14,-0.007312799618204585,60
2021-05-17,-0.014069704284049887,60
2021-05-18,-0.056462523383719564,60
2021-05-19,-0.05000502462336493,60
2021-05-20,-0.05171863315508983,60
2021-05-21,-0.06989507207296053,60
2021-05-24,-0.06236786857403444,60
2021-05-25,-0.028237095662007376,60
2021-05-26,-0.01752846806906094,60
2021-05-27,0.01917659107365926,60
2021-05-28,0.02581363417425456,60
2021-05-31,0.054919076234077664,60
2021-06-01,0.07858182727146319,60
2021-06-02,0.054870574473765824,60
2021-06-03,0.04552685870294204,60
2021-06-04,-0.01599438130601734,60
2021-06-07,-0.04868446145991809,60
2021-06-08,-0.05078025650823298,60
2021-06-09,-0.06650748027689073,60
2021-06-10,-0.07067135177664852,60
2021-06-11,-0.01856014396143135,60
2021-06-15,-0.023995702936925514,60
2021-06-16,-0.016076714168735552,60
2021-06-17,0.0008842022686856142,60
2021-06-18,0.023569138171688833,60
2021-06-21,0.024358092903103836,60
2021-06-22,0.016511448596074244,60
2021-06-23,0.019953725324307975,60
2021-06-24,0.02360327383542263,60
2021-06-25,-0.019034434730054284,60
2021-06-28,-0.023451113503904913,60
2021-06-29,-0.012176247017325153,60
2021-06-30,0.009503391536560497,60
2021-07-01,-0.0002004724089648832,60
2021-07-02,0.01972608910605513,60
2021-07-05,0.022360104093632465,60
2021-07-06,0.024857055533340455,60
2021-07-07,0.0047520831148551304,60
2021-07-08,-0.024357590369692296,60
2021-07-09,-0.05567804871849698,60
2021-07-12,-0.0338015168675716,60
2021-07-13,-0.02579085764403673,60
2021-07-14,-0.025309671554636377,60
2021-07-15,-0.039489370770715106,60
2021-07-16,-0.016110188231440788,60
2021-07-19,-0.018675216968789463,60
2021-07-20,-0.01752096552749191,60
2021-07-21,0.0006308812032235332,60
2021-07-22,0.02625172618847521,60
2021-07-23,0.08781483756004176,60
2021-07-26,0.21209444515880232,60
2021-07-27,0.1803147810358622,60
2021-07-28,0.2027567172027528,60
2021-07-29,0.2182303159312313,60
2021-07-30,0.1987781957616767,60
2021-08-02,0.2025064077039489,60
2021-08-03,0.2029746521769647,60
2021-08-04,0.19431467956130005,60
2021-08-05,0.20160395104991427,60
2021-08-06,0.20565363527126337,60
2021-08-09,0.23337097143026478,60
2021-08-10,0.23631510558282195,60
2021-08-11,0.24044313453510543,60
2021-08-12,0.23213475003348996,60
2021-08-13,0.22810647802333328,60
2021-08-16,0.23342384565850574,60
2021-08-17,0.16478233567423473,60
2021-08-18,0.15357250259872937,60
2021-08-19,0.1532197649186933,60
2021-08-20,0.1286899591823572,60
2021-08-23,0.13325371444298145,60
2021-08-24,0.12733713707851413,60
2021-08-25,0.11889448512863385,60
2021-08-26,0.1203556295791539,60
2021-08-27,0.11937641117104893,60
2021-08-30,0.11952439882703203,60
2021-08-31,0.11926698065824154,60
2021-09-01,0.1267113251763979,60
2021-09-02,0.12834700288975057,60
2021-09-03,0.13237171060151154,60
2021-09-06,0.1373268753288159,60
2021-09-07,0.13402570536917197,60
2021-09-08,0.12548783429684826,60
2021-09-09,0.12567847967068918,60
2021-09-10,0.12826984694604743,60
2021-09-13,0.1438521550273282,60
2021-09-14,0.15211430450072788,60
2021-09-15,0.15875490461023523,60
2021-09-16,0.15732892014593539,60
2021-09-17,0.16216067914244253,60
2021-09-22,0.15569598459424489,60
2021-09-23,0.1529796381182022,60
2021-09-24,0.14917217601715355,60
2021-09-27,0.15629310741440788,60
2021-09-28,0.14715262863815703,60
2021-09-29,0.13261309082617334,60
2021-09-30,0.15087059522815882,60
2021-10-08,0.16433307511694398,60
2021-10-11,0.16649907884857634,60
2021-10-12,0.1592723944179698,60
2021-10-13,0.13484478885196302,60
2021-10-14,0.13945517347786615,60
2021-10-15,0.1428750523859793,60
2021-10-18,0.1418922795504247,60
2021-10-19,0.12789134227522356,60
2021-10-20,0.13075927219965455,60
2021-10-21,0.13538446139455593,60
2021-10-22,0.11802497644011228,60
2021-10-25,0.1116797775559473,60
2021-10-26,0.07436617647604224,60
2021-10-27,-0.045753603080984175,60
2021-10-28,-0.10664762408205207,60
2021-10-29,-0.09817324194258578,60
2021-11-01,-0.101244552063462,60
2021-11-02,-0.07197918230782573,60
2021-11-03,-0.10492542801171584,60
2021-11-04,-0.1164717781777341,60
2021-11-05,-0.10433340912935381,60
2021-11-08,-0.10928414825283726,60
2021-11-09,-0.076388341026347,60
2021-11-10,-0.11067189242291488,60
2021-11-11,-0.16848775804210905,60
2021-11-12,-0.17688008778298114,60
2021-11-15,-0.17085670428924507,60
2021-11-16,-0.1593691061407929,60
2021-11-17,-0.16293720827475147,60
2021-11-18,-0.10857705976194418,60
2021-11-19,-0.07664950649109425,60
2021-11-22,-0.07993490990301938,60
2021-11-23,-0.053812009867377227,60
2021-11-24,-0.06816044020841164,60
2021-11-25,-0.05877668856010144,60
2021-11-26,-0.02475934966529981,60
2021-11-29,-0.06697686068700592,60
2021-11-30,-0.0710012734376042,60
2021-12-01,-0.05849318223063635,60
2021-12-02,-0.04453896221363748,60
2021-12-03,-0.07648749549617154,60
2021-12-06,-0.08194001044349944,60
2021-12-07,-0.05950052161809774,60
2021-12-08,-0.04554621132900818,60
2021-12-09,-0.08105688662520519,60
2021-12-10,-0.08496619494438491,60
2021-12-13,-0.10280909635435152,60
2021-12-14,-0.10582670025373345,60
2021-12-15,-0.15812611979541513,60
2021-12-16,-0.2126856426174498,60
2021-12-17,-0.19303333510879395,60
2021-12-20,-0.27094718862922923,60
2021-12-21,-0.2503665401231129,60
2021-12-22,-0.21710088323832555,60
2021-12-23,-0.20412476620381595,60
2021-12-24,-0.2119196267017539,60
2021-12-27,-0.22485541612946253,60
2021-12-28,-0.2313110907424878,60
2021-12-29,-0.21135396317695326,60
2021-12-30,-0.23319281406147932,60
2021-12-31,-0.22142263491452366,60
2022-01-04,-0.21672751190765363,60
2022-01-05,-0.19271416617882037,60
2022-01-06,-0.17724432868575346,60
2022-01-07,-0.18081186638506963,60
2022-01-10,-0.17919807620383324,60
2022-01-11,-0.13296290261744756,60
2022-01-12,-0.16748447700745248,60
2022-01-13,-0.08794685426702761,60
2022-01-14,-0.1157048361099668,60
2022-01-17,-0.0929988127399461,60
2022-01-18,-0.09396152181119494,60
2022-01-19,-0.11594432074609172,60
2022-01-20,-0.17792802747484426,60
2022-01-21,-0.13849577679342212,60
2022-01-24,-0.17717676225081075,60
2022-01-25,-0.20258156079289247,60
2022-01-26,-0.2510688990664229,60
2022-01-27,-0.1907110597757725,60
2022-01-28,-0.2138049730645819,60
2022-02-07,-0.1513377080045366,60
2022-02-08,-0.16023138930397646,60
2022-02-09,-0.16082539054106776,60
2022-02-10,-0.14402304462319826,60
2022-02-11,-0.08656779065986878,60
2022-02-14,-0.0824342063878006,60
2022-02-15,-0.062378202023146895,60
2022-02-16,-0.06836621661007264,60
2022-02-17,-0.05855895498563084,60
2022-02-18,-0.03747999624978668,60
2022-02-21,-0.024587852274048274,60
2022-02-22,-0.04554556201673872,60
2022-02-23,-0.10892784746198712,60
2022-02-24,-0.13510386647237607,60
2022-02-25,-0.14621259242094226,60
2022-02-28,-0.15967017328395577,60
2022-03-01,-0.1626635377846692,60
2022-03-02,-0.15183781635201107,60
2022-03-03,-0.14643622876675444,60
2022-03-04,-0.09299064660772574,60
2022-03-07,0.08201184127462975,60
2022-03-08,0.1319224120897266,60
2022-03-09,0.1078319717204474,60
2022-03-10,0.09444484579279018,60
2022-03-11,0.09677629952637318,60
2022-03-14,0.28566509516995464,60
2022-03-15,0.0807102137167886,60
2022-03-16,0.13336851783706755,60
2022-03-17,0.15068243700335232,60
2022-03-18,0.15374137337308705,60
2022-03-21,0.15164187838493806,60
2022-03-22,0.1772751323249167,60
2022-03-23,0.1707622185225211,60
2022-03-24,0.17306845414248528,60
2022-03-25,0.16928081570151543,60
2022-03-28,0.17337056965117123,60
2022-03-29,0.17003392908281562,60
2022-03-30,0.16140078529669827,60
2022-03-31,0.1637483336277891,60
2022-04-01,0.16987850660604412,60
2022-04-06,0.1626758884278291,60
2022-04-07,0.14969354201364132,60
2022-04-08,0.14025358486735304,60
2022-04-11,0.08696368595398007,60
2022-04-12,0.07382776198255958,60
2022-04-13,0.06627649188837162,60
2022-04-14,0.0657658158358953,60
2022-04-15,0.07574646309841682,60
2022-04-18,0.06344074962216915,60
2022-04-19,0.07242726086236094,60
2022-04-20,0.09279288025970825,60
2022-04-21,0.0856666911574253,60
2022-04-22,0.06007892918504007,60
2022-04-25,0.11975836998579271,60
2022-04-26,0.11229500577025148,60
2022-04-27,0.118827960067813,60
2022-04-28,0.15680562926129998,60
2022-04-29,0.19014650351784831,60
2022-05-05,0.18638901643422232,60
2022-05-06,0.186302210060146,60
2022-05-09,0.1682908961122426,60
2022-05-10,0.17459179362346275,60
2022-05-11,0.1747726409716207,60
2022-05-12,0.17319603006008408,60
2022-05-13,0.17038054047144172,60
2022-05-16,0.17086103031468272,60
2022-05-17,0.15923549557042432,60
2022-05-18,0.16079316753163145,60
2022-05-19,0.16427086895248372,60
2022-05-20,0.15892072612439048,60
2022-05-23,0.16289491308102547,60
2022-05-24,0.15310193009207185,60
2022-05-25,0.18202077789925428,60
2022-05-26,0.19698978260036343,60
2022-05-27,0.20332758933534414,60
2022-05-30,0.20738905107098118,60
2022-05-31,0.20668016834016248,60
2022-06-01,0.20664666120457248,60
2022-06-02,0.2062931464101274,60
2022-06-06,0.18809539866856903,60
2022-06-07,0.1320347651376029,60
2022-06-08,0.10184370155822128,60
2022-06-09,0.10276700170566855,60
2022-06-10,0.0918645185967907,60
2022-06-13,0.0843392286362796,60
2022-06-14,-0.009968707353024346,60
2022-06-15,0.08676478971924928,60
2022-06-16,0.052209022002436725,60
2022-06-17,0.04820926008983372,60
2022-06-20,0.0478301356245005,60
2022-06-21,0.050089547747022574,60
2022-06-22,0.038647597746385105,60
2022-06-23,0.04315941222995021,60
2022-06-24,0.04886117718119142,60
2022-06-27,0.04946082532787736,60
2022-06-28,0.038963192731776654,60
2022-06-29,0.026869516228216612,60
2022-06-30,0.03620460418574858,60
2022-07-01,0.04220884154370933,60
2022-07-04,0.03509148935910755,60
2022-07-05,0.032267668711053285,60
2022-07-06,0.04213753333390606,60
2022-07-07,0.04748490355121854,60
2022-07-08,0.10796959547633678,60
2022-07-11,0.1138240845599977,60
2022-07-12,0.1273533867368349,60
2022-07-13,0.13089695505394458,60
2022-07-14,0.1303876706200869,60
2022-07-15,0.09734338944740677,60
2022-07-18,0.09148303477742313,60
2022-07-19,0.03746255152041382,60
2022-07-20,0.041430722746438574,60
2022-07-21,0.06647057300575893,60
2022-07-22,-0.0884048014261016,60
2022-07-25,-0.0676099201183651,60
2022-07-26,-0.06496343859061127,60
2022-07-27,-0.09073948114466557,60
2022-07-28,-0.1378849383208297,60
2022-07-29,-0.13280074632085886,60
2022-08-01,-0.163782487683872,60
2022-08-02,-0.11533872751554528,60
2022-08-03,-0.13308425911460117,60
2022-08-04,-0.10977198121735687,60
2022-08-05,-0.09996538008594046,60
2022-08-08,-0.0970271846574576,60
2022-08-09,-0.10259835482838979,60
2022-08-10,-0.1314920963184343,60
2022-08-11,-0.08521817661774282,60
2022-08-12,-0.08594762234156603,60
2022-08-15,-0.07829711141993739,60
2022-08-16,-0.11259360304675,60
2022-08-17,-0.12055459060658856,60
2022-08-18,-0.12385373289272433,60
