index_code,con_code,trade_date,weight
399300.SZ,600588.SH,20200102,0.2711
399300.SZ,300142.SZ,20200102,0.2694
399300.SZ,300136.SZ,20200102,0.2585
399300.SZ,601225.SH,20200102,0.2582
399300.SZ,002008.SZ,20200102,0.2552
399300.SZ,000157.SZ,20200102,0.2549
399300.SZ,300003.SZ,20200102,0.2539
399300.SZ,601901.SH,20200102,0.2515
399300.SZ,601155.SH,20200102,0.2512
399300.SZ,600340.SH,20200102,0.2484
399300.SZ,600660.SH,20200102,0.2464
399300.SZ,002202.SZ,20200102,0.2456
399300.SZ,600547.SH,20200102,0.2449
399300.SZ,600346.SH,20200102,0.2428
399300.SZ,601669.SH,20200102,0.2387
399300.SZ,601377.SH,20200102,0.2378
399300.SZ,002352.SZ,20200102,0.2368
399300.SZ,600436.SH,20200102,0.2358
399300.SZ,300347.SZ,20200102,0.2354
399300.SZ,601138.SH,20200102,0.235
399300.SZ,600383.SH,20200102,0.2349
399300.SZ,000069.SZ,20200102,0.2284
399300.SZ,300124.SZ,20200102,0.2279
399300.SZ,002736.SZ,20200102,0.2274
399300.SZ,601985.SH,20200102,0.2268
399300.SZ,600029.SH,20200102,0.224
399300.SZ,002456.SZ,20200102,0.2233
399300.SZ,600886.SH,20200102,0.2219
399300.SZ,603993.SH,20200102,0.221
399300.SZ,002555.SZ,20200102,0.2199
399300.SZ,600010.SH,20200102,0.2169
399300.SZ,000895.SZ,20200102,0.2157
399300.SZ,002001.SZ,20200102,0.2141
399300.SZ,002007.SZ,20200102,0.2122
399300.SZ,601933.SH,20200102,0.2118
399300.SZ,603160.SH,20200102,0.2118
399300.SZ,601111.SH,20200102,0.2096
399300.SZ,002602.SZ,20200102,0.2077
399300.SZ,601877.SH,20200102,0.2074
399300.SZ,002311.SZ,20200102,0.204
399300.SZ,601108.SH,20200102,0.2021
399300.SZ,300144.SZ,20200102,0.2009
399300.SZ,600795.SH,20200102,0.1991
399300.SZ,000783.SZ,20200102,0.1989
399300.SZ,600438.SH,20200102,0.1966
399300.SZ,002466.SZ,20200102,0.1956
399300.SZ,000425.SZ,20200102,0.1951
399300.SZ,600196.SH,20200102,0.1946
399300.SZ,002460.SZ,20200102,0.194
399300.SZ,600018.SH,20200102,0.194
399300.SZ,600705.SH,20200102,0.19
399300.SZ,000938.SZ,20200102,0.1899
399300.SZ,600115.SH,20200102,0.1879
399300.SZ,603799.SH,20200102,0.1859
399300.SZ,600271.SH,20200102,0.1855
399300.SZ,601788.SH,20200102,0.1855
399300.SZ,600183.SH,20200102,0.1852
399300.SZ,600061.SH,20200102,0.1844
399300.SZ,603501.SH,20200102,0.1843
399300.SZ,600606.SH,20200102,0.1834
399300.SZ,600177.SH,20200102,0.1803
399300.SZ,002624.SZ,20200102,0.1796
399300.SZ,600089.SH,20200102,0.1786
399300.SZ,600011.SH,20200102,0.1775
399300.SZ,601997.SH,20200102,0.1769
399300.SZ,002050.SZ,20200102,0.1743
399300.SZ,300122.SZ,20200102,0.1738
399300.SZ,300408.SZ,20200102,0.1736
399300.SZ,300033.SZ,20200102,0.1729
399300.SZ,600111.SH,20200102,0.1727
399300.SZ,601555.SH,20200102,0.1712
399300.SZ,002271.SZ,20200102,0.1698
399300.SZ,601600.SH,20200102,0.1685
399300.SZ,002410.SZ,20200102,0.1676
399300.SZ,002493.SZ,20200102,0.1667
399300.SZ,600809.SH,20200102,0.1661
399300.SZ,600176.SH,20200102,0.1648
399300.SZ,000768.SZ,20200102,0.1639
399300.SZ,600109.SH,20200102,0.1628
399300.SZ,603019.SH,20200102,0.1603
399300.SZ,601800.SH,20200102,0.1575
399300.SZ,002120.SZ,20200102,0.1574
399300.SZ,600487.SH,20200102,0.1572
399300.SZ,000786.SZ,20200102,0.1571
399300.SZ,000963.SZ,20200102,0.1549
399300.SZ,601607.SH,20200102,0.1528
399300.SZ,002179.SZ,20200102,0.1511
399300.SZ,000625.SZ,20200102,0.1507
399300.SZ,600100.SH,20200102,0.1507
399300.SZ,002422.SZ,20200102,0.1492
399300.SZ,601919.SH,20200102,0.1485
399300.SZ,600522.SH,20200102,0.1481
399300.SZ,600637.SH,20200102,0.1475
399300.SZ,300413.SZ,20200102,0.147
399300.SZ,601618.SH,20200102,0.1456
399300.SZ,600893.SH,20200102,0.1441
399300.SZ,600221.SH,20200102,0.1433
399300.SZ,600516.SH,20200102,0.1428
399300.SZ,600332.SH,20200102,0.1419
399300.SZ,000961.SZ,20200102,0.14
399300.SZ,600498.SH,20200102,0.139
399300.SZ,600926.SH,20200102,0.1372
399300.SZ,600066.SH,20200102,0.1371
399300.SZ,300017.SZ,20200102,0.137
399300.SZ,601998.SH,20200102,0.1362
399300.SZ,600068.SH,20200102,0.1356
399300.SZ,000728.SZ,20200102,0.134
399300.SZ,601727.SH,20200102,0.1315
399300.SZ,600867.SH,20200102,0.1313
