ts_code,trade_date,turnover_rate,pe,pb,total_mv,circ_mv
000333.SZ,20200428,0.3688074824511634,,,1.985,1.985
000333.SZ,20200429,0.3020269557549159,,,1.985,1.985
000333.SZ,20200430,0.49763373724566806,,,1.985,1.985
000333.SZ,20200506,0.4804405592289165,,,1.985,1.985
000333.SZ,20200507,0.31256113619343956,,,1.985,1.985
000333.SZ,20200508,0.5989631807380589,,,1.985,1.985
000333.SZ,20200511,0.5550619871341153,,,1.985,1.985
000333.SZ,20200512,0.41824914396207435,,,1.985,1.985
000333.SZ,20200513,0.3207937085000626,,,1.985,1.985
000333.SZ,20200514,0.2632320148220155,,,1.985,1.985
000333.SZ,20200515,0.34160354075616123,,,1.985,1.985
000333.SZ,20200518,0.38277788085325143,,,1.985,1.985
000333.SZ,20200519,0.40730799611671087,,,1.985,1.985
000333.SZ,20200520,0.27872490313301646,,,1.985,1.985
000333.SZ,20200521,0.21807037253699416,,,1.985,1.985
000333.SZ,20200522,0.3814420976987989,,,1.985,1.985
000333.SZ,20200525,0.23314669864351079,,,1.985,1.985
000333.SZ,20200526,0.2695018550455331,,,1.985,1.985
000333.SZ,20200527,0.3773526289803029,,,1.985,1.985
000333.SZ,20200528,0.30126570283654674,,,1.985,1.985
000333.SZ,20200529,0.2669305836032581,,,1.985,1.985
000333.SZ,20200601,0.43107189895687026,,,1.985,1.985
000333.SZ,20200602,0.30239870290156556,,,1.985,1.985
000333.SZ,20200603,0.2645612179079474,,,1.985,1.985
000333.SZ,20200604,0.2050900322123146,,,1.985,1.985
000333.SZ,20200605,0.18608359202449895,,,1.985,1.985
000333.SZ,20200608,0.5255863801047392,,,1.985,1.985
000333.SZ,20200609,0.35113490160977595,,,1.985,1.985
000333.SZ,20200610,0.27804218446805684,,,1.985,1.985
000333.SZ,20200611,0.294461268601658,,,1.985,1.985
000333.SZ,20200612,0.270791884790205,,,1.985,1.985
000333.SZ,20200615,0.46792192037877317,,,1.985,1.985
000333.SZ,20200616,0.26771851025267657,,,1.985,1.985
000333.SZ,20200617,0.3234612873097879,,,1.985,1.985
000333.SZ,20200618,0.390616803618432,,,1.985,1.985
000333.SZ,20200619,0.4740174121832277,,,1.985,1.985
000333.SZ,20200622,0.3210258039076681,,,1.985,1.985
000333.SZ,20200623,0.26457403475697017,,,1.985,1.985
