trade_date,factor,ic,rank_ic
2020-07-17,factor_reversal_5d,0.10959109839857693,0.15584335491828555
2020-07-20,factor_reversal_5d,0.2094859789894401,0.18211532531606536
2020-07-21,factor_reversal_5d,0.07910075900498373,0.04779525131051495
2020-07-22,factor_reversal_5d,0.15576996141760233,0.07820160970753756
2020-07-23,factor_reversal_5d,0.059381011985984736,0.10033919210607462
2020-07-24,factor_reversal_5d,-0.011035526829251505,-0.025532702223123465
2020-07-27,factor_reversal_5d,0.17962504238994648,0.1514693639130223
2020-07-28,factor_reversal_5d,0.09074548570193644,0.13993216157878507
2020-07-29,factor_reversal_5d,0.035142549095702386,0.1382053654024052
2020-07-30,factor_reversal_5d,-0.07644410428725766,0.07357385137218625
2020-07-31,factor_reversal_5d,0.020665926834702142,0.04668516805427073
2020-08-03,factor_reversal_5d,0.23238240794648662,0.3037311131668208
2020-08-04,factor_reversal_5d,0.321303865229955,0.275609004008634
2020-08-05,factor_reversal_5d,0.1799851833282653,0.019673142152328092
2020-08-06,factor_reversal_5d,0.2733193731768849,0.1784150477952513
2020-08-07,factor_reversal_5d,0.17395104104669518,0.0717237126117792
2020-08-10,factor_reversal_5d,-0.2063368935266643,-0.33451540303918276
2020-08-11,factor_reversal_5d,-0.3950260724380404,-0.4069688559975331
2020-08-12,factor_reversal_5d,-0.1913510044304011,-0.19963612825181318
2020-08-13,factor_reversal_5d,-0.29760797113916626,-0.26635831020659884
2020-08-14,factor_reversal_5d,-0.2762144222616506,-0.20333651987835277
2020-08-17,factor_reversal_5d,-0.2764736101155024,-0.21714461917977185
2020-08-18,factor_reversal_5d,-0.1851052225113753,-0.1620104841196423
2020-08-19,factor_reversal_5d,-0.13503078218470776,-0.09948806588988028
2020-08-20,factor_reversal_5d,-0.028422654704038305,-0.01325932778291705
2020-08-21,factor_reversal_5d,-0.1521659289805073,-0.14511255010792476
2020-08-24,factor_reversal_5d,0.13260135260546757,0.037064446500154176
2020-08-25,factor_reversal_5d,0.1441354296641374,0.09146134636930459
2020-08-26,factor_reversal_5d,0.2503082558288149,0.28239284613012644
2020-08-27,factor_reversal_5d,0.3387354820242299,0.366759173604687
2020-08-28,factor_reversal_5d,0.4272945270389902,0.3917977181621955
2020-08-31,factor_reversal_5d,0.31902099065093936,0.32716620413197656
2020-09-01,factor_reversal_5d,0.4076962559728823,0.3309898242368177
2020-09-02,factor_reversal_5d,0.42158033561266545,0.29994449127246603
2020-09-03,factor_reversal_5d,0.24615503556825624,0.21384734093070532
2020-09-04,factor_reversal_5d,0.14793949537624526,0.12315757015109466
2020-09-07,factor_reversal_5d,-0.12469437672026944,0.03694110391612704
2020-09-08,factor_reversal_5d,-0.12491356656211239,-0.0056120875732346585
2020-09-09,factor_reversal_5d,0.04983469658947957,0.09022510021584952
2020-09-10,factor_reversal_5d,-0.03146780783408442,0.0027752081406105457
2020-09-11,factor_reversal_5d,-0.15788803322522463,-0.13543433353135056
2020-09-14,factor_reversal_5d,-0.14411582007407583,-0.012889300030835646
2020-09-15,factor_reversal_5d,-0.2997550230900394,-0.1971631205673759
2020-09-16,factor_reversal_5d,-0.4067480553721904,-0.2921369102682701
2020-09-17,factor_reversal_5d,-0.229891482713494,-0.13425559947299076
2020-09-18,factor_reversal_5d,-0.14828012535135396,-0.0982423681776133
2020-09-21,factor_reversal_5d,0.03848580653584169,0.08233117483811286
2020-09-22,factor_reversal_5d,0.2577495958039889,0.24724020968239283
2020-09-23,factor_reversal_5d,0.15398769421161487,-0.07760210803689063
2020-09-24,factor_reversal_5d,0.20071493336423002,-0.014986123959296946
2020-09-25,factor_reversal_5d,0.19974087999759893,0.11014832408332974
2020-09-28,factor_reversal_5d,0.02040603899520539,-0.08270120259019426
2020-09-29,factor_reversal_5d,-0.09271136148807366,-0.1483194572926303
