model,year,g1_return,g2_return,g3_return,g4_return,g5_return,g5_g1,monotonic_score
composite_pca_neutral,2021,0.001203185410211088,-0.009487424212708102,-0.008455714659399807,0.008723221949134531,0.005736208840247725,0.004533023430036637,0.5
composite_pca_neutral,2022,-0.008468581160548598,-0.004395809896938654,-0.00801608715301065,-0.006542313514010413,-0.00909861445345012,-0.0006300332929015228,0.5
composite_pca_neutral,2023,-0.004610478789474566,-0.011867048592521452,-0.0097859778167476,-0.006360219375502154,0.00098248214413366,0.0055929609336082264,0.75
composite_rolling_ic_weight,2020,0.026655584479352422,0.024895654260984067,0.03348709125664851,0.028744072975360337,0.01457146582403776,-0.012084118655314662,0.25
composite_rolling_ic_weight,2021,-0.016815501782531845,-0.010080060105522603,0.0030536020439594453,0.009832214596816121,0.013445603361434508,0.030261105143966353,1.0
composite_rolling_ic_weight,2022,-0.01596845532811192,-0.02035603711936074,-0.0058809706778539675,0.001783577966385345,0.004507345500233049,0.020475800828344968,0.75
composite_rolling_ic_weight,2023,-0.003714666410251957,-0.013470756801662409,-0.010396404292926938,-0.004370439896060567,0.0001988679636227662,0.0039135343738747235,0.75
composite_rolling_ic_weight_size_neutral,2020,0.029496460519173897,0.022133057158935356,0.028327034800743153,0.029848873157408275,0.01823800965856195,-0.011258450860611946,0.5
composite_rolling_ic_weight_size_neutral,2021,-0.0006180545592814463,-0.006247226017602081,-0.0013571232225614085,0.0014945165914889,0.004556445991819535,0.005174500551100981,0.75
composite_rolling_ic_weight_size_neutral,2022,-0.02330824078750518,-0.010650242737962069,-0.004478813580759271,0.004354759572643505,-0.0010086091120956582,0.02229963167540952,0.75
composite_rolling_ic_weight_size_neutral,2023,-0.003812929011057601,-0.012030014834726911,-0.011984587453004637,-0.0034826091444302787,-0.0004312713614039564,0.003381657649653645,0.75
composite_rolling_ic_weight_industry_size_neutral,2020,0.026978444195815944,0.02286753038627069,0.024738321910748845,0.030544171381282736,0.02318065535900017,-0.003797788836815773,0.5
composite_rolling_ic_weight_industry_size_neutral,2021,-0.0014965285755327378,-0.007216619283350434,0.0033140399741836838,-0.0015450495245058987,0.0048631180828385525,0.00635964665837129,0.5
composite_rolling_ic_weight_industry_size_neutral,2022,-0.025044545535217743,-0.00903744825358113,-0.006538033599225363,0.004204027052564281,0.0014445642055606227,0.026489109740778366,0.75
composite_rolling_ic_weight_industry_size_neutral,2023,-0.0011011377689400922,-0.014016596994315516,-0.012691980487993462,-0.003976992856725167,-0.0002453609099045313,0.0008557768590355609,0.75
