model,rebalance_days,avg_turnover,cost_rate,annual_cost_estimate
composite_ic_weight_industry_size_neutral,5,0.06822612085769983,0.001,0.006877192982456143
composite_ic_weight_industry_size_neutral,5,0.06822612085769983,0.002,0.013754385964912286
composite_ic_weight_industry_size_neutral,5,0.06822612085769983,0.003,0.020631578947368428
composite_ic_weight_industry_size_neutral,10,0.06822612085769983,0.001,0.0034385964912280716
composite_ic_weight_industry_size_neutral,10,0.06822612085769983,0.002,0.006877192982456143
composite_ic_weight_industry_size_neutral,10,0.06822612085769983,0.003,0.010315789473684214
composite_ic_weight_industry_size_neutral,20,0.06822612085769983,0.001,0.0017192982456140358
composite_ic_weight_industry_size_neutral,20,0.06822612085769983,0.002,0.0034385964912280716
composite_ic_weight_industry_size_neutral,20,0.06822612085769983,0.003,0.005157894736842107
composite_ic_weight_industry_size_neutral,60,0.06822612085769983,0.001,0.0005730994152046786
composite_ic_weight_industry_size_neutral,60,0.06822612085769983,0.002,0.0011461988304093571
composite_ic_weight_industry_size_neutral,60,0.06822612085769983,0.003,0.0017192982456140358
composite_ic_weight_neutral,5,0.06386882238275429,0.001,0.006437977296181633
composite_ic_weight_neutral,5,0.06386882238275429,0.002,0.012875954592363266
composite_ic_weight_neutral,5,0.06386882238275429,0.003,0.019313931888544897
composite_ic_weight_neutral,10,0.06386882238275429,0.001,0.0032189886480908166
composite_ic_weight_neutral,10,0.06386882238275429,0.002,0.006437977296181633
composite_ic_weight_neutral,10,0.06386882238275429,0.003,0.009656965944272448
composite_ic_weight_neutral,20,0.06386882238275429,0.001,0.0016094943240454083
composite_ic_weight_neutral,20,0.06386882238275429,0.002,0.0032189886480908166
composite_ic_weight_neutral,20,0.06386882238275429,0.003,0.004828482972136224
composite_ic_weight_neutral,60,0.06386882238275429,0.001,0.0005364981080151361
composite_ic_weight_neutral,60,0.06386882238275429,0.002,0.0010729962160302721
composite_ic_weight_neutral,60,0.06386882238275429,0.003,0.0016094943240454083
composite_pca,5,0.2382624985364712,0.001,0.024016859852476296
composite_pca,5,0.2382624985364712,0.002,0.04803371970495259
composite_pca,5,0.2382624985364712,0.003,0.07205057955742888
composite_pca,10,0.2382624985364712,0.001,0.012008429926238148
composite_pca,10,0.2382624985364712,0.002,0.024016859852476296
composite_pca,10,0.2382624985364712,0.003,0.03602528977871444
composite_pca,20,0.2382624985364712,0.001,0.006004214963119074
composite_pca,20,0.2382624985364712,0.002,0.012008429926238148
composite_pca,20,0.2382624985364712,0.003,0.01801264488935722
composite_pca,60,0.2382624985364712,0.001,0.002001404987706358
composite_pca,60,0.2382624985364712,0.002,0.004002809975412716
composite_pca,60,0.2382624985364712,0.003,0.006004214963119074
composite_pca_size_neutral,5,0.23674042852125052,0.001,0.023863435194942054
composite_pca_size_neutral,5,0.23674042852125052,0.002,0.04772687038988411
composite_pca_size_neutral,5,0.23674042852125052,0.003,0.07159030558482615
composite_pca_size_neutral,10,0.23674042852125052,0.001,0.011931717597471027
composite_pca_size_neutral,10,0.23674042852125052,0.002,0.023863435194942054
composite_pca_size_neutral,10,0.23674042852125052,0.003,0.035795152792413076
composite_pca_size_neutral,20,0.23674042852125052,0.001,0.005965858798735514
composite_pca_size_neutral,20,0.23674042852125052,0.002,0.011931717597471027
composite_pca_size_neutral,20,0.23674042852125052,0.003,0.017897576396206538
composite_pca_size_neutral,60,0.23674042852125052,0.001,0.0019886195995785045
composite_pca_size_neutral,60,0.23674042852125052,0.002,0.003977239199157009
composite_pca_size_neutral,60,0.23674042852125052,0.003,0.005965858798735514
composite_pca_industry_size_neutral,5,0.23756000468329241,0.001,0.023946048472075876
composite_pca_industry_size_neutral,5,0.23756000468329241,0.002,0.04789209694415175
composite_pca_industry_size_neutral,5,0.23756000468329241,0.003,0.07183814541622763
composite_pca_industry_size_neutral,10,0.23756000468329241,0.001,0.011973024236037938
composite_pca_industry_size_neutral,10,0.23756000468329241,0.002,0.023946048472075876
composite_pca_industry_size_neutral,10,0.23756000468329241,0.003,0.035919072708113814
composite_pca_industry_size_neutral,20,0.23756000468329241,0.001,0.005986512118018969
composite_pca_industry_size_neutral,20,0.23756000468329241,0.002,0.011973024236037938
composite_pca_industry_size_neutral,20,0.23756000468329241,0.003,0.017959536354056907
composite_pca_industry_size_neutral,60,0.23756000468329241,0.001,0.0019955040393396565
composite_pca_industry_size_neutral,60,0.23756000468329241,0.002,0.003991008078679313
composite_pca_industry_size_neutral,60,0.23756000468329241,0.003,0.00598651211801897
composite_pca_neutral,5,0.23674042852125052,0.001,0.023863435194942054
composite_pca_neutral,5,0.23674042852125052,0.002,0.04772687038988411
composite_pca_neutral,5,0.23674042852125052,0.003,0.07159030558482615
composite_pca_neutral,10,0.23674042852125052,0.001,0.011931717597471027
composite_pca_neutral,10,0.23674042852125052,0.002,0.023863435194942054
composite_pca_neutral,10,0.23674042852125052,0.003,0.035795152792413076
composite_pca_neutral,20,0.23674042852125052,0.001,0.005965858798735514
composite_pca_neutral,20,0.23674042852125052,0.002,0.011931717597471027
composite_pca_neutral,20,0.23674042852125052,0.003,0.017897576396206538
composite_pca_neutral,60,0.23674042852125052,0.001,0.0019886195995785045
composite_pca_neutral,60,0.23674042852125052,0.002,0.003977239199157009
composite_pca_neutral,60,0.23674042852125052,0.003,0.005965858798735514
composite_rolling_ic_weight,5,0.11042311661506711,0.001,0.011130650154798765
composite_rolling_ic_weight,5,0.11042311661506711,0.002,0.02226130030959753
composite_rolling_ic_weight,5,0.11042311661506711,0.003,0.033391950464396296
composite_rolling_ic_weight,10,0.11042311661506711,0.001,0.005565325077399382
composite_rolling_ic_weight,10,0.11042311661506711,0.002,0.011130650154798765
composite_rolling_ic_weight,10,0.11042311661506711,0.003,0.016695975232198148
composite_rolling_ic_weight,20,0.11042311661506711,0.001,0.002782662538699691
composite_rolling_ic_weight,20,0.11042311661506711,0.002,0.005565325077399382
composite_rolling_ic_weight,20,0.11042311661506711,0.003,0.008347987616099074
composite_rolling_ic_weight,60,0.11042311661506711,0.001,0.0009275541795665638
composite_rolling_ic_weight,60,0.11042311661506711,0.002,0.0018551083591331276
composite_rolling_ic_weight,60,0.11042311661506711,0.003,0.002782662538699691
composite_rolling_ic_weight_size_neutral,5,0.12854030501089328,0.001,0.012956862745098044
composite_rolling_ic_weight_size_neutral,5,0.12854030501089328,0.002,0.025913725490196087
composite_rolling_ic_weight_size_neutral,5,0.12854030501089328,0.003,0.03887058823529413
composite_rolling_ic_weight_size_neutral,10,0.12854030501089328,0.001,0.006478431372549022
composite_rolling_ic_weight_size_neutral,10,0.12854030501089328,0.002,0.012956862745098044
composite_rolling_ic_weight_size_neutral,10,0.12854030501089328,0.003,0.019435294117647064
composite_rolling_ic_weight_size_neutral,20,0.12854030501089328,0.001,0.003239215686274511
composite_rolling_ic_weight_size_neutral,20,0.12854030501089328,0.002,0.006478431372549022
composite_rolling_ic_weight_size_neutral,20,0.12854030501089328,0.003,0.009717647058823532
composite_rolling_ic_weight_size_neutral,60,0.12854030501089328,0.001,0.0010797385620915038
composite_rolling_ic_weight_size_neutral,60,0.12854030501089328,0.002,0.0021594771241830076
composite_rolling_ic_weight_size_neutral,60,0.12854030501089328,0.003,0.003239215686274511
composite_rolling_ic_weight_industry_size_neutral,5,0.13392959522990489,0.001,0.013500103199174412
composite_rolling_ic_weight_industry_size_neutral,5,0.13392959522990489,0.002,0.027000206398348825
composite_rolling_ic_weight_industry_size_neutral,5,0.13392959522990489,0.003,0.04050030959752324
composite_rolling_ic_weight_industry_size_neutral,10,0.13392959522990489,0.001,0.006750051599587206
composite_rolling_ic_weight_industry_size_neutral,10,0.13392959522990489,0.002,0.013500103199174412
composite_rolling_ic_weight_industry_size_neutral,10,0.13392959522990489,0.003,0.02025015479876162
composite_rolling_ic_weight_industry_size_neutral,20,0.13392959522990489,0.001,0.003375025799793603
composite_rolling_ic_weight_industry_size_neutral,20,0.13392959522990489,0.002,0.006750051599587206
composite_rolling_ic_weight_industry_size_neutral,20,0.13392959522990489,0.003,0.01012507739938081
composite_rolling_ic_weight_industry_size_neutral,60,0.13392959522990489,0.001,0.0011250085999312011
composite_rolling_ic_weight_industry_size_neutral,60,0.13392959522990489,0.002,0.0022500171998624022
composite_rolling_ic_weight_industry_size_neutral,60,0.13392959522990489,0.003,0.003375025799793603
