trade_date,window,factor,weight
2021-03-17,120,factor_momentum,0.0552303721316154
2021-03-18,120,factor_momentum,0.060078634637958324
2021-03-19,120,factor_momentum,0.05984307232189484
2021-03-22,120,factor_momentum,0.04134321240822952
2021-03-23,120,factor_momentum,0.01526878213243706
2021-03-24,120,factor_momentum,0.0
2021-03-25,120,factor_momentum,0.0
2021-03-26,120,factor_momentum,0.0
2021-03-29,120,factor_momentum,0.0
2021-03-30,120,factor_momentum,0.0
2021-03-31,120,factor_momentum,0.0
2021-04-01,120,factor_momentum,0.0
2021-04-02,120,factor_momentum,0.0
2021-04-06,120,factor_momentum,0.0
2021-04-07,120,factor_momentum,0.0
2021-04-08,120,factor_momentum,0.0
2021-04-09,120,factor_momentum,0.0
2021-04-12,120,factor_momentum,0.0
2021-04-13,120,factor_momentum,0.0
2021-04-14,120,factor_momentum,0.0
2021-04-15,120,factor_momentum,0.0
2021-04-16,120,factor_momentum,0.0
2021-04-19,120,factor_momentum,0.0
2021-04-20,120,factor_momentum,0.0
2021-04-21,120,factor_momentum,0.0
2021-04-22,120,factor_momentum,0.0
2021-04-23,120,factor_momentum,0.0
2021-04-26,120,factor_momentum,0.0
2021-04-27,120,factor_momentum,0.0
2021-04-28,120,factor_momentum,0.0
2021-04-29,120,factor_momentum,0.0
2021-04-30,120,factor_momentum,0.0
2021-05-06,120,factor_momentum,0.0
2021-05-07,120,factor_momentum,0.0
2021-05-10,120,factor_momentum,0.0
2021-05-11,120,factor_momentum,0.0
2021-05-12,120,factor_momentum,0.0
2021-05-13,120,factor_momentum,0.0
2021-05-14,120,factor_momentum,0.0
2021-05-17,120,factor_momentum,0.0
2021-05-18,120,factor_momentum,0.0
2021-05-19,120,factor_momentum,0.0
2021-05-20,120,factor_momentum,0.0
2021-05-21,120,factor_momentum,0.0
2021-05-24,120,factor_momentum,0.0
2021-05-25,120,factor_momentum,0.0
2021-05-26,120,factor_momentum,0.0
2021-05-27,120,factor_momentum,0.0
2021-05-28,120,factor_momentum,0.0
2021-05-31,120,factor_momentum,0.0
2021-06-01,120,factor_momentum,0.0
2021-06-02,120,factor_momentum,0.0
2021-06-03,120,factor_momentum,0.0
2021-06-04,120,factor_momentum,0.0
2021-06-07,120,factor_momentum,0.0
2021-06-08,120,factor_momentum,0.0
2021-06-09,120,factor_momentum,0.0
2021-06-10,120,factor_momentum,0.0
2021-06-11,120,factor_momentum,0.0
2021-06-15,120,factor_momentum,0.0
2021-06-16,120,factor_momentum,0.0
2021-06-17,120,factor_momentum,0.0
2021-06-18,120,factor_momentum,0.0
2021-06-21,120,factor_momentum,0.0
2021-06-22,120,factor_momentum,0.0
2021-06-23,120,factor_momentum,0.0
2021-06-24,120,factor_momentum,0.0
2021-06-25,120,factor_momentum,0.0
2021-06-28,120,factor_momentum,0.0
2021-06-29,120,factor_momentum,0.0
2021-06-30,120,factor_momentum,0.0
2021-07-01,120,factor_momentum,0.0
2021-07-02,120,factor_momentum,0.0
2021-07-05,120,factor_momentum,0.0
2021-07-06,120,factor_momentum,0.005828806712474985
2021-07-07,120,factor_momentum,0.013945418198933331
2021-07-08,120,factor_momentum,0.02040322519437349
2021-07-09,120,factor_momentum,0.0312405600411383
2021-07-12,120,factor_momentum,0.04058056650320476
2021-07-13,120,factor_momentum,0.04314903786671486
2021-07-14,120,factor_momentum,0.04920088207244197
2021-07-15,120,factor_momentum,0.04910407516380519
2021-07-16,120,factor_momentum,0.05803004681302058
2021-07-19,120,factor_momentum,0.06457694732026553
2021-07-20,120,factor_momentum,0.07289052515082846
2021-07-21,120,factor_momentum,0.07964239790152719
2021-07-22,120,factor_momentum,0.08769555400064385
2021-07-23,120,factor_momentum,0.09733764435464981
2021-07-26,120,factor_momentum,0.1117512414665043
2021-07-27,120,factor_momentum,0.12421879676831275
2021-07-28,120,factor_momentum,0.13075629069658043
2021-07-29,120,factor_momentum,0.13861501649407026
2021-07-30,120,factor_momentum,0.1497437354786919
2021-08-02,120,factor_momentum,0.15878020134288728
2021-08-03,120,factor_momentum,0.1665449492159125
2021-08-04,120,factor_momentum,0.17580424060752844
2021-08-05,120,factor_momentum,0.1822534088754647
2021-08-06,120,factor_momentum,0.1904785123227315
2021-08-09,120,factor_momentum,0.19619547576226015
2021-08-10,120,factor_momentum,0.20396701442691761
2021-08-11,120,factor_momentum,0.21326584192847794
2021-08-12,120,factor_momentum,0.2256636480253575
